transaction_id,datum,store,province,kategorie,bedrag,quantity,customer_id,payment_method
TXN-001067,06/03/2024,menlyn park,Gauteng,H&L,R530,3,CUST-00142,Mobile Money
TXN-001068,29/11/2024,Menlyn Park,Gauteng Province,Tech,"R 12,696.06",3,,Card
TXN-001069,2024-11-16,,limpopo,H&L,"R 2,132.73",2,CUST-00763,Mobile Money
TXN-001070,29 May 2024,Gateway Umhlanga,KwaZulu-Natal,Clothing,R1567.45,1,CUST-00055,Card
TXN-001071,04 Oct 2024,Gateway Umhlanga,KZN,Sport,R3244,3,CUST-01552,Card
TXN-001072,02 Oct 2024,Menlyn,Gauteng,clothing,2006.30,1,CUST-01607,Cash
TXN-001073,01 Aug 2024,,WC,Tech,R3182.60,1,CUST-01843,EFT
TXN-001074,01-25-2024,V and A Waterfront,W. Cape,Home,5404.11,1,CUST-01097,EFT
TXN-001075,06 Dec 2024,Baywest Mall,eastern cape,SPORTS,"R 1,166.16",2,CUST-00235,Cash
TXN-001076,26/10/2024,,,Elec.,"R 3,194.38",1,CUST-00084,Mobile Money
TXN-001077,09-13-2024,Mall of North,Limpopo,CLOTHING,R1164.16,1,CUST-00457,Mobile Money
TXN-001078,2024-03-23,SANDTON CITY,Gauteng Province,F&B,R295.18,2,CUST-01277,Mobile Money
TXN-001079,2024-08-25,Eastgate,GAUTENG,Apparel,R 650.48,1,CUST-00105,EFT
TXN-001080,2024-07-12,baywest mall,E. Cape,ELECTRONICS,R-739.40,2,CUST-00174,Card
TXN-001081,06 Jul 2024,mall of the north,Limpopo,H&L,R6494.21,1,CUST-01815,Cash
TXN-001082,2024-10-06,Online Store,kwazulu natal,BEAUTY,R590.04,2,CUST-00696,EFT
TXN-001083,16 Apr 2024,East Gate,gauteng,F&B,R95,1,CUST-01033,Cash
TXN-001084,2024-09-30,,Eastern Cape,Elec.,R13710.96,1,CUST-00110,Mobile Money
TXN-001085,2024-08-11,Baywest,EC,beauty,94.16,2,CUST-00184,EFT
TXN-001086,12 Jan 2024,Baywest Mall,eastern cape,home & living,R301.46,1,CUST-00124,Card
TXN-001087,03 Jun 2024,eastgate,,BEAUTY,442.35,2,CUST-01444,Cash
TXN-001088,2024-07-26,East Gate,Gauteng,Electronics,R981.56,4,CUST-00140,Mobile Money
TXN-001089,2024-11-03,,Eastern Cape,Elec.,"R 2,133.89",2,CUST-01846,EFT
TXN-001090,24/12/2024,Eastgate,GP,electronics,R14301.98,3,CUST-00152,Cash
TXN-001091,2024-12-19,Canal walk,Western Cape,Clothing,R1875.61,3,CUST-00040,Cash
TXN-001092,02/04/2024,Menlyn Park,,H&L,R1165.85,1,CUST-00400,Card
TXN-001093,14 May 2024,Canal Walk Mall,western cape,Food and Beverage,(R2925.31),2,,Cash
TXN-001094,2024-01-22,Canal Walk,western cape,Tech,R 6 425.05,2,CUST-00747,Card
TXN-001095,11 Aug 2024,mall of the north,limpopo,Clothes,R444,1,CUST-00161,EFT
TXN-001096,30/03/2024,Online Store,limpopo,Tech,R11056.54,3,CUST-00121,Card
TXN-001097,12-28-2024,Gateway,Kwazulu-Natal,sports,R1673,2,CUST-01314,Card
TXN-001098,05 Dec 2024,mall of the north,Limpopo Province,Home & Living,381.91,1,CUST-01370,EFT
TXN-001099,2024-06-19,Canal walk,Western cape,Tech,R3265.61,2,CUST-00012,Mobile Money
TXN-001100,16 Jun 2024,V&A Waterfront,Western Cape,Sports & Outdoors,4322.30,3,CUST-00677,EFT
TXN-001101,11-19-2024,Sandton city,Gauteng Province,Home,R 2 683.65,1,CUST-00158,EFT
TXN-001102,11-15-2024,VA Waterfront,western cape,H&L,R6960.08,1,CUST-00078,Mobile Money
TXN-001103,2024-01-20,Eastgate Mall,Gauteng,SPORTS,R 2 707.74,2,CUST-00730,Card
TXN-001104,01-12-2024,menlyn park,gauteng,Beauty & Health,R713.29,2,CUST-01352,Mobile Money
TXN-001105,18/09/2024,V&A Waterfront,Western cape,sports,R3432,2,CUST-00149,EFT
TXN-001106,08-22-2024,mall of the north,LP,Sport,"R 4,425.45",4,CUST-00059,EFT
TXN-001107,07 Dec 2024,Menlyn,gauteng,Food and Beverage,258.43,3,CUST-00047,Cash
TXN-001108,2024-07-04,ONLINE,GAUTENG,BEAUTY,960.41,3,CUST-01884,Mobile Money
TXN-001109,29/02/2024,,GP,Clothing,R2242,1,CUST-00433,EFT
TXN-001110,05-15-2024,sandton city,GP,food & beverage,R667.43,3,CUST-01346,EFT
TXN-001111,12/01/2024,,WC,food & beverage,R593.51,2,CUST-00831,EFT
TXN-001112,10-05-2024,mall of the north,Limpopo Province,Sports,R2214,2,CUST-01534,Mobile Money
TXN-001113,13 Aug 2024,Sandton City,GAUTENG,H&L,R404.69,2,CUST-00997,Card
TXN-001114,2024-07-11,Sandton City,GAUTENG,Cosmetics,1893.93,1,CUST-01465,EFT
TXN-001115,18/02/2024,Gateway Umhlanga,KZN,Clothes,R1055,4,CUST-00863,Mobile Money
TXN-001116,04/06/2024,Gateway,KZN,beauty,R1604,1,CUST-01545,Mobile Money
TXN-001117,05-23-2024,online,GP,Sports,2413.67,1,CUST-00212,EFT
TXN-001118,08/11/2024,Baywest,Eastern Cape,Cosmetics,R899.99,5,,Cash
TXN-001119,11/08/2024,Mall of North,limpopo,food & beverage,R116,2,CUST-00042,Cash
TXN-001120,28/08/2024,Canal Walk,W. Cape,home & living,R5682.41,1,CUST-00112,Card
TXN-001121,03 Dec 2024,East Gate,GAUTENG,electronics,20065.88,1,CUST-00175,Mobile Money
TXN-001122,12-27-2024,,Limpopo Province,ELECTRONICS,R-5129.19,2,CUST-01052,Card
TXN-001123,11/02/2024,Gateway Umhlanga,kwazulu natal,BEAUTY,719.14,1,CUST-00110,Mobile Money
TXN-001124,11/02/2024,eastgate,gauteng,Food and Beverage,R256.38,2,CUST-00292,Mobile Money
TXN-001125,2024-04-26,V&A Waterfront,western cape,Electronics,R 10 636.93,3,CUST-01767,Card
TXN-001126,2024-09-06,Menlyn,gauteng,Beauty,R154.19,1,CUST-01062,Mobile Money
TXN-001127,12 Jul 2024,Gateway Mall Umhlanga,,CLOTHING,-R1436.95,4,CUST-00229,Mobile Money
TXN-001128,02/09/2024,East Gate,GAUTENG,Beauty,362.66,3,CUST-00463,Mobile Money
TXN-001129,07 Dec 2024,Eastgate Mall,Gauteng,F&B,828.21,3,CUST-00164,Card
TXN-001130,03 Nov 2024,Sandton City Mall,Gauteng,Home & Living,8670.57,3,CUST-01351,Mobile Money
TXN-001131,16/05/2024,Menlyn,GP,Elec.,"R 9,713.28",1,CUST-00324,Cash
TXN-001132,15/10/2024,Canal walk,Western Cape,food & beverage,R477.41,2,CUST-00004,Cash
TXN-001133,2024-01-16,,WC,ELECTRONICS,R-8211.70,1,CUST-01698,EFT
TXN-001134,2024-08-26,Menlyn,Gauteng,ELECTRONICS,R12619.70,1,CUST-00181,EFT
TXN-001135,13 Oct 2024,mall of the north,limpopo,electronics,"R 8,420.53",4,CUST-01668,EFT
TXN-001136,02/08/2024,V&A waterfront,W. Cape,beauty,R498.13,1,CUST-01254,Mobile Money
TXN-001137,02 Mar 2024,V&A Waterfront,Western Cape,Clothing,(R7211.79),1,CUST-01967,Mobile Money
TXN-001138,13 Nov 2024,menlyn park,Gauteng,home & living,R 2 225.19,2,CUST-00743,Cash
TXN-001139,07 Sep 2024,Baywest Mall,EC,CLOTHING,"R 1,862.28",1,CUST-00264,Card
TXN-001140,03 Sep 2024,Eastgate,GP,Beauty,R 298.76,3,CUST-01812,EFT
TXN-001141,12 Feb 2024,Canal Walk Mall,Western Cape,Beauty,R882.88,1,CUST-01119,Cash
TXN-001142,2024-12-28,Mall of the North,Limpopo Province,clothing,R1723,2,CUST-01388,EFT
TXN-001143,2024-07-05,Canal Walk Mall,western cape,H&L,R816,3,CUST-01433,EFT
TXN-001144,21/08/2024,,Gauteng,BEAUTY,R630.36,1,CUST-01872,EFT
TXN-001145,2024-10-25,Baywest,Eastern Cape,Food and Beverage,R747.18,4,CUST-00998,Cash
TXN-001146,2024-11-06,MOTN,Limpopo,home & living,R 1 430.35,1,CUST-01783,Mobile Money
TXN-001147,2024-10-23,Mall of North,limpopo,BEAUTY,R375,2,CUST-01765,Mobile Money
TXN-001148,2024-08-03,,limpopo,beauty,R1755.04,5,CUST-01318,Mobile Money
TXN-001149,31/05/2024,Menlyn Park Mall,gauteng,food & beverage,R 422.99,1,CUST-01807,EFT
TXN-001150,06-07-2024,Menlyn Park,Gauteng,Home and Living,R1541.63,1,CUST-00321,EFT
TXN-001151,2024-03-17,East Gate,Gauteng Province,Food and Beverage,R526,3,CUST-00884,Cash
TXN-001152,2024-04-29,sandton city,gauteng,clothing,1585.21,1,CUST-01196,Cash
TXN-001153,13/10/2024,MOTN,LP,Tech,R 2 751.97,2,CUST-00145,Card
TXN-001154,24 Nov 2024,eastgate,Gauteng,home & living,R2701.87,3,CUST-01291,EFT
TXN-001155,20 Dec 2024,Sandton City,gauteng,home & living,7833.50,1,CUST-01234,EFT
TXN-001156,08-04-2024,Canal Walk,WC,Food and Beverage,R455.71,1,CUST-00536,EFT
TXN-001157,03/10/2024,,KwaZulu Natal,Clothes,"R 3,088.13",1,CUST-00189,EFT
TXN-001158,02/12/2024,Canal walk,western cape,CLOTHING,R 1 678.30,1,,Cash
TXN-001159,06-21-2024,Bay West Mall,eastern cape,SPORTS,"R 1,161.43",1,CUST-00023,EFT
TXN-001160,06/08/2024,Web,Gauteng,clothing,R 1 734.26,2,CUST-01854,Card
TXN-001161,08-03-2024,baywest mall,E. Cape,Clothing,R2888.56,1,CUST-01217,EFT
TXN-001162,30 Jan 2024,menlyn park,Gauteng Province,Beauty,"R 1,073.78",2,CUST-00489,EFT
TXN-001163,11/12/2024,,KwaZulu-Natal,Home,R2784.08,4,CUST-00178,Mobile Money
TXN-001164,22 May 2024,Menlyn Park Mall,GP,BEAUTY,R410.93,3,CUST-00059,Card
TXN-001165,16/07/2024,,,CLOTHING,R 962.96,1,CUST-00200,Mobile Money
TXN-001166,13/06/2024,Baywest Mall,Eastern Cape,Food and Beverage,R637.54,2,CUST-01174,Card
TXN-001167,02-13-2024,Baywest Mall,Eastern Cape,Beauty,744.88,1,CUST-00527,EFT
TXN-001168,02-26-2024,Gateway,KZN,Clothes,253.42,4,CUST-01721,Cash
TXN-001169,08-27-2024,Web,WC,electronics,5756.11,3,CUST-01456,Mobile Money
TXN-001170,28 Jan 2024,gateway umhlanga,KwaZulu Natal,sports,1200.32,3,CUST-00993,Card
TXN-001171,2024-07-29,canal walk,WC,Food,450.60,1,CUST-00911,Mobile Money
TXN-001172,2024-10-13,Online,Limpopo Province,Sport,R4233.52,1,CUST-00110,EFT
TXN-001173,03/05/2024,,Gauteng,electronics,R7565.69,1,CUST-00974,Mobile Money
TXN-001174,05/12/2024,V and A Waterfront,western cape,F&B,637.64,5,CUST-00003,Cash
TXN-001175,30/08/2024,Canal Walk,W. Cape,Beauty,R1161.07,1,CUST-00313,Cash
TXN-001176,22 Nov 2024,mall of the north,LP,Clothes,"R 2,707.97",1,CUST-00021,EFT
TXN-001177,09 Sep 2024,Eastgate Mall,gauteng,Beauty,R751.35,2,CUST-01161,Mobile Money
TXN-001178,09-14-2024,eastgate,Gauteng Province,BEAUTY,R298.43,1,CUST-00185,Cash
TXN-001179,15/04/2024,Baywest,EC,clothing,R1020,1,CUST-00836,Cash
TXN-001180,2024-01-19,canal walk,Western cape,SPORTS,R1112,1,CUST-01730,Card
TXN-001181,05/11/2024,Mall of North,limpopo,Sport,R2608.27,1,,Cash
TXN-001182,2024-02-14,East Gate,GP,Food and Beverage,283.86,1,CUST-00125,EFT
TXN-001183,11-05-2024,Gateway Umhlanga,kwazulu natal,H&L,R 584.42,2,CUST-00079,Card
TXN-001184,17 Feb 2024,Canal Walk,Western cape,Apparel,1608.15,3,CUST-01906,Cash
TXN-001185,04-29-2024,Canal Walk,WC,Elec.,R2712.35,1,CUST-00028,Card
TXN-001186,16/02/2024,Online Store,Gauteng Province,Beauty & Health,526.89,1,CUST-00578,Card
TXN-001187,01-02-2024,V&A waterfront,Western cape,BEAUTY,R313,1,CUST-00519,Cash
TXN-001188,20 Feb 2024,gateway umhlanga,KwaZulu-Natal,Home and Living,1201.66,2,CUST-00162,Card
TXN-001189,04-24-2024,Menlyn Park Mall,Gauteng Province,sports,R 3 570.13,2,CUST-00263,EFT
TXN-001190,2024-09-02,,,sports,"R 1,322.05",3,CUST-00161,EFT
TXN-001191,2024-09-21,canal walk,WC,Food,527.57,1,CUST-00063,Mobile Money
TXN-001192,28/10/2024,,Limpopo,Home and Living,R 3 928.42,1,CUST-01954,Card
TXN-001193,2024-07-21,Canal Walk Mall,western cape,CLOTHING,1769.78,1,CUST-00082,Cash
TXN-001194,15 Sep 2024,SANDTON CITY,GAUTENG,Beauty & Health,R 1 612.49,5,CUST-00083,Card
TXN-001195,10-08-2024,Online Store,KwaZulu Natal,Beauty,"R 1,513.28",4,CUST-00652,EFT
TXN-001196,2024-03-25,Menlyn Park,GAUTENG,Cosmetics,R 779.31,2,CUST-00092,Cash
TXN-001197,07-29-2024,MOTN,limpopo,Sports & Outdoors,-R937.21,1,CUST-00155,EFT
TXN-001198,07/07/2024,V&A,WC,Home,R3035,1,CUST-00364,EFT
TXN-001199,2024-08-04,MOTN,,Home & Living,"R 3,661.73",1,CUST-00914,EFT
TXN-001200,12-09-2024,East Gate,gauteng,beauty,686.57,3,CUST-00188,EFT
TXN-001201,31 Oct 2024,Bay West Mall,Eastern Cape,Sports & Outdoors,R330.20,1,CUST-00415,Card
TXN-001202,09-07-2024,Mall of North,limpopo,Food,R49.56,1,CUST-00057,EFT
TXN-001203,21/06/2024,V&A,Western cape,CLOTHING,R2486,1,CUST-00022,Cash
TXN-001204,01 Jul 2024,menlyn park,gauteng,Home and Living,"R 7,263.75",1,CUST-00676,Card
TXN-001205,09/01/2024,,KZN,Sports & Outdoors,3970.80,1,CUST-00195,EFT
TXN-001206,30/04/2024,Bay West Mall,E. Cape,CLOTHING,R2751.88,3,CUST-00571,Cash
TXN-001207,29 Sep 2024,VA Waterfront,W. Cape,Tech,R1355.20,4,CUST-00711,Mobile Money
TXN-001208,12/02/2024,eastgate,Gauteng,SPORTS,R463.34,1,CUST-00715,Card
TXN-001209,09-14-2024,Mall of North,limpopo,Food and Beverage,R188.26,1,CUST-00025,Mobile Money
TXN-001210,11-17-2024,,,Beauty & Health,R1396,1,CUST-01949,Card
TXN-001211,05 Dec 2024,V&A,WC,Sports,R1452,1,CUST-00125,Mobile Money
TXN-001212,21/06/2024,East Gate,Gauteng,clothing,R 1 036.70,3,CUST-00841,Mobile Money
TXN-001213,2024-03-29,SANDTON CITY,Gauteng,Food and Beverage,R171.84,1,CUST-00115,Mobile Money
TXN-001214,28/09/2024,Gateway,KwaZulu Natal,Electronics,"R 10,210.76",1,CUST-01706,EFT
TXN-001215,10/03/2024,gateway umhlanga,KwaZulu Natal,Clothes,1855.13,1,CUST-00451,Cash
TXN-001216,02-04-2024,V and A Waterfront,western cape,Home and Living,R2048.39,2,CUST-00810,Card
TXN-001217,24 Oct 2024,,Limpopo,Home,R 1 272.14,3,CUST-00444,Card
TXN-001218,23 Apr 2024,Gateway Umhlanga,KwaZulu-Natal,Beauty & Health,R1295.05,3,CUST-01500,EFT
TXN-001219,2024-12-06,Menlyn,,Tech,R 3 019.67,1,CUST-00809,Cash
TXN-001220,10-12-2024,Bay West Mall,EC,Beauty,R597.30,1,CUST-01860,EFT
TXN-001221,05-29-2024,menlyn park,,Elec.,11886.88,3,CUST-00519,EFT
TXN-001222,2024-04-27,Sandton city,GAUTENG,H&L,R1740,1,CUST-01996,Mobile Money
TXN-001223,30/12/2024,V and A Waterfront,Western cape,beauty,"R 1,672.19",2,CUST-01289,Cash
TXN-001224,06-07-2024,gateway umhlanga,KwaZulu Natal,ELECTRONICS,R8356.26,2,CUST-00505,Mobile Money
TXN-001225,21/11/2024,V&A waterfront,W. Cape,clothing,R494.99,1,CUST-00142,Cash
TXN-001226,2024-05-30,menlyn park,,Sport,R2189.40,4,CUST-01574,Card
TXN-001227,2024-02-17,Gateway Umhlanga,kwazulu natal,CLOTHING,2547.79,2,CUST-01218,Cash
TXN-001228,08-12-2024,online,eastern cape,Clothes,"R 1,704.19",1,CUST-01678,EFT
TXN-001229,12-22-2024,Mall of North,Limpopo Province,BEAUTY,R745.88,3,CUST-01809,Mobile Money
TXN-001230,2024-11-13,MOTN,LP,BEAUTY,(R611.51),3,CUST-00140,Card
TXN-001231,07 Apr 2024,Baywest Mall,Eastern Cape,Food,R75.40,1,CUST-00199,Card
TXN-001232,03-29-2024,menlyn park,Gauteng Province,clothing,R511.98,2,CUST-00117,EFT
TXN-001233,08-28-2024,Web,,sports,R3007,2,CUST-01614,Mobile Money
TXN-001234,08/09/2024,Bay West Mall,eastern cape,H&L,R249.26,1,CUST-00131,EFT
TXN-001235,31 Dec 2024,Menlyn Park,Gauteng,Food and Beverage,R335.12,1,CUST-00029,EFT
TXN-001236,11 Mar 2024,,KwaZulu Natal,CLOTHING,R1735.81,1,CUST-00812,Mobile Money
TXN-001237,2024-03-08,Eastgate Mall,GP,home & living,R4569.75,3,CUST-00293,EFT
TXN-001238,04/05/2024,VA Waterfront,Western Cape,beauty,-R500.69,3,CUST-01130,Cash
TXN-001239,08/11/2024,Gateway Umhlanga,Kwazulu-Natal,electronics,R6418.00,1,CUST-01670,Mobile Money
TXN-001240,17 Sep 2024,SANDTON CITY,Gauteng,food & beverage,R528.26,1,CUST-00915,Card
TXN-001241,08-02-2024,,W. Cape,Electronics,R9696.09,4,CUST-00160,Card
TXN-001242,08-18-2024,MOTN,Limpopo,Cosmetics,R643.33,1,,EFT
TXN-001243,05-27-2024,Sandton City Mall,GP,clothing,R836.44,2,CUST-01795,Card
TXN-001244,11 Mar 2024,baywest mall,eastern cape,Elec.,R1159,3,CUST-00096,EFT
TXN-001245,19 Jun 2024,Online Store,Eastern Cape,clothing,1548.05,1,CUST-01583,Card
TXN-001246,17 Oct 2024,Mall of North,LP,Food,R385.64,3,CUST-00406,EFT
TXN-001247,03/08/2024,MOTN,limpopo,Beauty & Health,R 726.38,3,CUST-01876,Mobile Money
TXN-001248,23 Aug 2024,eastgate,Gauteng,Beauty,R1526.79,1,CUST-00121,Mobile Money
TXN-001249,30/06/2024,Gateway,KwaZulu Natal,Clothes,"R 1,737.59",1,CUST-01276,EFT
TXN-001250,30 Apr 2024,baywest mall,eastern cape,food & beverage,R545.34,2,CUST-01660,Card
TXN-001251,22 May 2024,Web,eastern cape,Apparel,-R2297.45,3,CUST-01124,Card
TXN-001252,24/05/2024,Baywest,Eastern Cape,Food & Beverage,R574.11,1,CUST-00016,Card
TXN-001253,2024-08-18,Gateway,kwazulu natal,electronics,6385.86,1,CUST-00094,EFT
TXN-001254,2024-05-29,East Gate,gauteng,Elec.,R2950,2,CUST-01870,Mobile Money
TXN-001255,07-22-2024,,Limpopo Province,SPORTS,"R 3,878.44",3,CUST-01731,EFT
TXN-001256,11-11-2024,Menlyn Park,GAUTENG,Beauty & Health,"R 1,949.57",1,CUST-00194,Cash
TXN-001257,08 Jun 2024,,western cape,Clothes,R2765,4,CUST-00154,EFT
TXN-001258,26 Apr 2024,Sandton City,GAUTENG,home & living,R4089.25,1,CUST-01577,Card
TXN-001259,06/10/2024,Canal Walk Mall,W. Cape,BEAUTY,R 1 590.72,1,CUST-00087,Mobile Money
TXN-001260,14/12/2024,menlyn park,GAUTENG,Food & Beverage,R781.98,3,CUST-01136,EFT
TXN-001261,02 Mar 2024,,Limpopo Province,Beauty,743.22,2,CUST-00574,Mobile Money
TXN-001262,12-22-2024,online,Limpopo Province,Beauty & Health,R591,1,CUST-00128,EFT
TXN-001263,05/08/2024,Canal Walk,Western Cape,Electronics,544.66,1,CUST-00189,Cash
TXN-001264,07-06-2024,Menlyn,Gauteng,Beauty,R 967.83,2,CUST-01691,Card
TXN-001265,17/02/2024,V&A waterfront,western cape,Sports & Outdoors,R303.65,2,CUST-01557,Cash
TXN-001266,10 Jan 2024,,Eastern Cape,ELECTRONICS,R 12 295.52,2,CUST-00078,EFT
TXN-001267,04-23-2024,East Gate,GAUTENG,F&B,R 142.79,1,CUST-00651,Mobile Money
TXN-001268,11 Feb 2024,,limpopo,CLOTHING,"R 1,922.31",4,CUST-00349,Card
TXN-001269,04/05/2024,Gateway Umhlanga,KwaZulu-Natal,BEAUTY,R197.18,3,CUST-00025,Cash
TXN-001270,2024-02-24,Canal walk,Western Cape,beauty,71.93,1,CUST-00088,Cash
TXN-001271,2024-07-19,Gateway,KwaZulu Natal,Sports & Outdoors,R3071.22,1,CUST-00200,Mobile Money
TXN-001272,17 Jul 2024,MOTN,Limpopo Province,Food,R130.51,1,CUST-00433,EFT
TXN-001273,2024-06-25,Canal Walk Mall,western cape,Cosmetics,R1577.07,1,CUST-00962,Cash
TXN-001274,2024-05-29,gateway umhlanga,KwaZulu-Natal,SPORTS,R2785.98,1,CUST-00167,Mobile Money
TXN-001275,2024-12-02,Canal walk,W. Cape,Food and Beverage,R421.88,1,CUST-00040,EFT
TXN-001276,01-11-2024,gateway umhlanga,KZN,Clothing,R176.03,3,CUST-00042,EFT
TXN-001277,09-25-2024,ONLINE,Western Cape,BEAUTY,R191.36,3,CUST-00145,Card
TXN-001278,11 Nov 2024,Bay West Mall,EC,Beauty & Health,R2120.74,1,CUST-00121,EFT
TXN-001279,2024-05-16,,GAUTENG,Home,(R3634.77),3,CUST-00981,Mobile Money
TXN-001280,11/02/2024,Canal Walk,WC,Home & Living,R4475,1,CUST-01927,Cash
TXN-001281,12-26-2024,Bay West Mall,E. Cape,Beauty,"R 2,338.77",4,CUST-01406,EFT
TXN-001282,09-01-2024,Menlyn Park Mall,gauteng,clothing,R2617.80,3,CUST-00078,Card
TXN-001283,2024-06-14,SANDTON CITY,GAUTENG,CLOTHING,R2709.95,1,CUST-00497,Cash
TXN-001284,11-08-2024,Baywest Mall,Eastern Cape,clothing,R3945.05,2,CUST-01218,Card
TXN-001285,15 Aug 2024,,,Food & Beverage,R63.56,1,CUST-00596,Mobile Money
TXN-001286,03/07/2024,Gateway,kwazulu natal,food & beverage,R 464.52,1,CUST-00188,Mobile Money
TXN-001287,2024-03-24,,Gauteng,H&L,2114.01,1,,Mobile Money
TXN-001288,11-30-2024,,limpopo,Home & Living,R-121.34,2,CUST-01617,Card
TXN-001289,2024-07-01,Mall of North,Limpopo Province,Sports & Outdoors,3123.13,1,CUST-00604,EFT
TXN-001290,04-08-2024,Menlyn Park Mall,GAUTENG,Clothes,655.00,1,CUST-01807,Cash
TXN-001291,24/05/2024,,kwazulu natal,Home and Living,R656,2,CUST-00190,Mobile Money
TXN-001292,01/01/2024,East Gate,gauteng,Elec.,"R 1,711.15",2,CUST-00160,Cash
TXN-001293,12 Jun 2024,V and A Waterfront,Western cape,Beauty,R 1 040.70,1,CUST-01795,Cash
TXN-001294,2024-06-19,Menlyn Park,gauteng,Food & Beverage,518.25,2,CUST-00035,Mobile Money
TXN-001295,08-12-2024,Sandton City,GAUTENG,Apparel,2236.79,1,CUST-01589,Cash
TXN-001296,07/11/2024,sandton city,Gauteng,ELECTRONICS,-R357.07,1,CUST-00753,EFT
TXN-001297,29/08/2024,MOTN,LP,Beauty,R 490.66,1,CUST-00029,Cash
TXN-001298,16/06/2024,Gateway Mall Umhlanga,KwaZulu-Natal,beauty,R474.90,1,CUST-00521,Mobile Money
TXN-001299,05-26-2024,Baywest,eastern cape,sports,R1426.63,1,CUST-01393,Card
TXN-001300,2024-10-08,baywest mall,EC,Elec.,"R 12,811.49",1,CUST-01001,Cash
TXN-001301,27/07/2024,,Eastern Cape,SPORTS,"R 1,579.99",4,CUST-01640,Mobile Money
TXN-001302,26 May 2024,V&A Waterfront,Western cape,Cosmetics,R 1 398.42,3,CUST-00223,Card
TXN-001303,2024-08-05,Menlyn Park Mall,gauteng,Sport,R1421.39,3,CUST-00564,Cash
TXN-001304,06-02-2024,Gateway Umhlanga,KZN,Beauty,1000.20,2,CUST-00086,Cash
TXN-001305,15/09/2024,,Eastern Cape,Tech,R9683.78,2,CUST-01962,EFT
TXN-001306,17 May 2024,Sandton City,Gauteng Province,Food & Beverage,R 659.48,1,CUST-00130,Cash
TXN-001307,21/10/2024,Baywest Mall,E. Cape,Tech,R9427.70,1,CUST-01062,Cash
TXN-001308,10-15-2024,canal walk,WC,Food & Beverage,R410.40,2,CUST-01753,Mobile Money
TXN-001309,2024-03-01,baywest mall,Eastern Cape,Beauty & Health,1248.44,2,CUST-01732,Card
TXN-001310,09/12/2024,canal walk,W. Cape,Food,R 929.96,4,CUST-00486,Cash
TXN-001311,21 Aug 2024,canal walk,,Sports,"R 2,320.17",3,CUST-00136,Cash
TXN-001312,27 May 2024,Sandton City,Gauteng,H&L,R5694.41,1,CUST-00732,Mobile Money
TXN-001313,2024-01-16,Eastgate Mall,GP,sports,R2700.43,1,CUST-00100,Mobile Money
TXN-001314,26/06/2024,baywest mall,eastern cape,Tech,"R 9,286.56",1,CUST-00333,Mobile Money
TXN-001315,2024-05-23,East Gate,GAUTENG,Electronics,R12398.90,3,CUST-00073,Card
TXN-001316,12-03-2024,Bay West Mall,Eastern Cape,Sports,"R 6,248.90",1,CUST-00311,EFT
TXN-001317,05-21-2024,,Western cape,Clothes,R2661,1,,Mobile Money
TXN-001318,2024-07-11,,LP,Clothes,R3288.90,2,CUST-00872,EFT
TXN-001319,2024-03-10,Online Store,Western cape,Apparel,"R 1,213.46",1,CUST-01963,Card
TXN-001320,14 Sep 2024,Mall of North,limpopo,Electronics,R9414,4,CUST-00132,Cash
TXN-001321,06/04/2024,Bay West Mall,E. Cape,beauty,R1502,1,CUST-00040,Mobile Money
TXN-001322,04-13-2024,Gateway,KwaZulu Natal,Electronics,R 10 888.47,1,CUST-01188,Card
TXN-001323,23/04/2024,Eastgate,gauteng,Apparel,R542,3,CUST-01829,EFT
TXN-001324,10-14-2024,VA Waterfront,WC,CLOTHING,R2013.96,1,CUST-01174,EFT
TXN-001325,27 Oct 2024,canal walk,Western cape,Beauty & Health,493.02,1,CUST-01044,Cash
TXN-001326,2024-12-19,SANDTON CITY,Gauteng Province,BEAUTY,R 2 487.79,1,CUST-00077,Mobile Money
TXN-001327,2024-06-20,VA Waterfront,Western Cape,Food & Beverage,488.83,1,CUST-00806,EFT
TXN-001328,2024-09-07,,LP,Sports,R 1 879.84,1,CUST-01031,Mobile Money
TXN-001329,18 Oct 2024,,WC,Apparel,R 266.66,1,CUST-00468,Card
TXN-001330,2024-09-03,Mall of the North,LP,H&L,"R 3,738.20",1,CUST-01731,Mobile Money
TXN-001331,04 Aug 2024,V and A Waterfront,WC,Home and Living,"R 2,365.02",1,CUST-00150,Mobile Money
TXN-001332,09-25-2024,Web,WC,Sport,R2339.38,3,CUST-00181,EFT
TXN-001333,02/12/2024,,,SPORTS,R1324.20,3,CUST-00751,Mobile Money
TXN-001334,10-08-2024,,kwazulu natal,Home and Living,R 765.53,1,CUST-00085,EFT
TXN-001335,04/12/2024,Mall of the North,limpopo,BEAUTY,552.10,2,CUST-00217,Mobile Money
TXN-001336,14/03/2024,Canal walk,W. Cape,Food,R237.35,2,CUST-00753,Mobile Money
TXN-001337,2024-03-17,Canal walk,Western Cape,beauty,1075.90,1,CUST-00026,EFT
TXN-001338,29 May 2024,eastgate,gauteng,F&B,R251.49,1,CUST-00705,Mobile Money
TXN-001339,21 Mar 2024,menlyn park,Gauteng,Sport,R3061.63,1,CUST-00160,EFT
TXN-001340,12-19-2024,V and A Waterfront,W. Cape,ELECTRONICS,R6774.77,1,CUST-00130,Card
